pid	q2_mean
ER_3000	23.15384615
ER_3004	39.5
ER_3005	22.81578947
ER_3007	2.181818182
ER_3008	43.46666667
ER_3010	37.4516129
ER_3011	20.64285714
ER_3013	69.88235294
ER_3015	22.58823529
ER_3016	12.95652174
ER_3017	43.25
ER_3018	9
ER_3019	22.69565217
ER_3020	20.34375
ER_3023	32.52941176
ER_3024	44.90909091
ER_3026	25.5
ER_3027	21.10714286
ER_3028	23.375
ER_3029	41.63636364
ER_3030	37.42857143
ER_3032	1.709677419
ER_3033	10.71428571
ER_3034	21.11764706
ER_3035	35.66666667
ER_3036	28.26923077
ER_3037	51.25
ER_3038	48.88235294
ER_3039	37.41176471
ER_3040	36.08823529
ER_3042	29.73684211
ER_3045	43.16666667
ER_3046	62.79166667
ER_3047	37.65
ER_3048	45.22727273
ER_3050	40.16666667
ER_3051	35.17391304
ER_3053	19.6
ER_3055	23.63157895
ER_3056	17.58333333
ER_3057	32.875
ER_3059	53.75
ER_3060	26.44897959
ER_3062	37.25
ER_3063	17.125
ER_3064	49.14285714
ER_3065	45.1
ER_3068	22.3
ER_3085	32.09090909
ER_3086	37.11538462
ER_3087	26.82352941
ER_3088	28.61538462
ER_3089	18.70909091
ER_3090	66.68
ER_3091	41.5
ER_3092	39.85185185
ER_5000	31.17391304
ER_5002	25.32142857
ER_5005	24.36734694
ER_5006	11.03333333
ER_5007	54.83333333
ER_5008	53.625
ER_5010	20.59090909
ER_5011	20.95121951
ER_5012	40.25
ER_5013	6.266666667
ER_5014	48.6
ER_5015	38.61111111
ER_5016	22.26923077
ER_5017	2.875
ER_5018	20.84
ER_5019	21.89285714
ER_5021	32.75862069
ER_5023	70.75
ER_5024	35.83333333
ER_5026	31.35135135
ER_5027	28.85714286
ER_5028	49.45454545
ER_5029	34.56896552
ER_5031	21.5
ER_5032	44.89473684
ER_5033	51.1
ER_5034	44.625
ER_5036	37.16666667
ER_5037	51
ER_5039	18.14285714
ER_5040	20.81818182
ER_5041	26.88
ER_5042	14.76315789
ER_5044	46.33333333
ER_5046	39.46666667
ER_5047	20.75862069
ER_5048	34.8974359
ER_5049	22.25
ER_5053	41.54545455
ER_5055	20.36
ER_5056	40.8
ER_5060	29.88679245
ER_5082	39.41666667
ER_5084	38.57142857
ER_5085	23.20588235
ER_5086	30.82222222
ER_5087	21.3125
ER_5088	36.27777778
ER_5089	31.60869565
ER_5090	41.28571429
ER_5091	49.6
ER_5092	14.45454545
ER_5101	5.368421053
ER_5102	19.82926829
ER_5104	52.42857143
ER_5105	44.29411765
