id	neuroticism_score
2	3.5
2	1.5
2	6.5
2	5.5
2	2
2	2.5
2	1
2	4.5
2	3
2	6
2	4
2	7
2	5
3	3.5
3	4.5
3	7
3	2
3	2.5
3	5
3	5.5
3	4
3	1.5
3	3
3	6.5
3	NA
4	NA
6	NA
8	NA
9	NA
10	NA
12	NA
13	NA
20	NA
23	NA
26	NA
28	NA
31	NA
34	NA
38	NA
39	NA
41	NA
43	NA
46	NA
47	NA
48	NA
52	NA
57	NA
74	NA
82	NA
84	NA
90	NA
105	NA
107	NA
124	NA
125	NA
128	NA
154	NA
162	NA
172	NA
173	NA
181	NA
184	NA
186	NA
195	NA
202	NA
236	NA
239	NA
258	NA
259	NA
271	NA
281	NA
288	NA
300	NA
306	NA
323	NA
332	NA
352	NA
359	NA
364	NA
367	NA
370	NA
376	NA
379	NA
392	NA
394	NA
398	NA
405	NA
407	NA
426	NA
430	NA
435	NA
447	NA
449	NA
451	NA
454	NA
461	NA
465	NA
466	NA
497	NA
499	NA
500	NA
504	NA
512	NA
518	NA
520	NA
524	NA
526	NA
527	NA
529	NA
531	NA
536	NA
543	NA
556	NA
559	NA
560	NA
568	NA
587	NA
603	NA
