id	age	gender	ddq_typ_drinks
12720153435	19	male	1
12819113920	20	other	4
12819134068	18	female	1
12819161049	18	male	5
12820100587	19	male	0
12919131074	18	genderqueer	2
12919150637	18	female	1
12920153820	18	male	2
13019090820	19	female	1
13019114055	18	male	1
13019134038	20	female	3
13020100625	19	male	1
13020143714	18	male	2
13119094277	18	male	2
20420133917	18	male	2
20619113940	19	female	2
20619134104	19	female	3
20619170614	18	male	1
20620160615	19	male	1
20719093966	18	female	1
20719161045	18	female	1
20819113748	18	female	1
21419114420	19	male	2
21419130640	19	female	4
21519113939	18	female	2
22019114069	19	female	2
22019133917	19	female	1
22119130646	18	male	2
22119160756	19	female	3
22120155088	19	male	1
22219113828	19	female	2
22519133900	19	male	2
22519160997	19	female	3
22619094064	18	female	0
22620115066	18	male	1
22719114681	18	female	0
22719133665	19	female	4
22719170557	18	female	3
42219144226	19	female	2
42219160791	19	female	2
42319113937	20	male	7
42519122448	19	male	2
42519132914	18	female	2
42919103955	19	female	3
50119094170	20	female	2
50119130925	19	female	3
50219133875	20	female	1
50619103606	19	female	1
50619143480	18	female	0
50619160689	18	female	3
50719112474	19	male	4
50719114139	19	male	2
50719140861	18	female	3
51419140786	19	female	3
52019103858	19	female	2
52019143687	19	female	4
52019160694	19	female	2
52119141010	19	male	1
52119153539	19	female	1
52219131011	19	female	3
102119164125	19	male	2
102219153830	18	male	2
102318153624	18	male	2
102318174081	20	male	2
102419103533	18	male	1
102518091380	18	female	4
102518154593	19	female	2
102618150749	18	female	4
102618171060	19	female	1
102819150855	18	female	1
102819163731	18	male	3
102918123910	18	male	4
102918143634	18	female	3
103119103486	19	male	5
110118091086	18	female	3
110118154383	19	female	3
110119090829	19	male	2
110218150401	21	male	3
110419113940	18	male	3
110419130788	20	female	2
110419163473	18	female	3
110518124031	18	female	4
110519131110	20	female	2
110519153588	18	female	2
110618133965	18	male	3
110618174004	18	female	3
110619103734	18	male	2
110719103686	19	female	3
110719120807	18	female	4
110719134407	18	female	3
110818111701	20	female	3
110818153802	18	female	3
110819090459	19	female	2
110819113356	20	male	2
110918152245	18	female	2
111219113982	18	female	3
111219131438	18	male	7
111219153995	18	female	1
111318133972	19	female	1
111318153726	18	female	4
111319104681	18	male	2
111319154235	18	male	5
111418120751	19	male	1
111419103758	18	female	1
111419120778	18	female	1
111518111215	19	male	3
111518154154	19	male	4
111519090392	19	male	2
111519113315	18	female	3
111618151457	19	female	1
111618173202	19	male	4
111819113824	NA	female	2
111819130015	19	female	1
111819150773	18	male	4
111819163851	19	female	2
111918144272	18	female	3
111918180526	18	female	2
111919113831	19	male	2
112018111143	18	female	6
112018133612	18	female	1
112019105005	21	male	0
112019140749	18	female	3
112019181085	18	female	3
112119103482	19	female	1
112119120722	18	female	3
112219090413	18	female	4
112219113667	20	female	1
1010	21	male	5
1010	21	male	NA
1185	23	male	4
1185	23	male	NA
1322	22	female	3
1322	22	female	NA
1417	19	male	4
1417	19	male	NA
1447	21	male	4
1447	21	male	NA
1469	19	female	4
1469	19	female	NA
1563	19	male	2
1659	19	female	3
1659	19	female	NA
1828	18	male	3
1828	18	male	NA
1894	19	male	2
1894	19	male	NA
2015	19	male	3
2015	19	male	NA
205207	22	male	5
205207	22	male	NA
2072	19	female	4
2072	19	female	NA
207600	22	male	3
207600	22	male	NA
2102	19	female	2
2117	22	male	3
2117	22	male	NA
2205	20	female	2
2205	20	female	NA
2216	20	female	7
2216	20	female	NA
227458	18	female	2
227458	18	female	NA
227663	19	female	7
227663	19	female	NA
2339	20	male	7
2339	20	male	NA
2511	18	female	3
2511	18	female	NA
257136	20	female	4
257136	20	female	NA
2590	20	male	4
2590	20	male	NA
2593	18	male	3
2593	18	male	NA
2801	21	male	4
2801	21	male	NA
2868	27	male	7
2868	27	male	NA
3042	18	female	4
3042	18	female	NA
306183	19	male	3
306183	19	male	NA
3069	19	male	3
3069	19	male	NA
3141	20	male	7
3141	20	male	NA
3363	18	male	1
3363	18	male	NA
3439	19	female	6
3439	19	female	NA
345510	23	female	4
345510	23	female	NA
3481	21	male	6
3481	21	male	NA
3513	22	male	3
3513	22	male	NA
353042	19	female	4
353042	19	female	NA
3607	21	male	3
3607	21	male	NA
3622	18	female	3
3622	18	female	NA
3725	21	male	5
3725	21	male	NA
3781	21	male	2
3781	21	male	NA
379194	21	female	3
385570	22	female	5
385570	22	female	NA
3890	22	male	4
3890	22	male	NA
393559	20	female	7
393559	20	female	NA
395634	21	male	7
395634	21	male	NA
4018	18	female	3
4018	18	female	NA
4098	18	male	4
4098	18	male	NA
4113	19	male	5
4113	19	male	NA
4192	20	female	2
4192	20	female	NA
4209	22	male	2
4209	22	male	NA
4238	19	male	3
4238	19	male	NA
4611	19	female	3
4611	19	female	NA
4660	18	female	4
4660	18	female	NA
4688	25	female	4
4688	25	female	NA
5030	20	male	3
5030	20	male	NA
5412	19	female	4
5412	19	female	NA
5533	23	male	3
5533	23	male	NA
5631	19	male	3
5631	19	male	NA
5717	23	male	4
5717	23	male	NA
5865	20	female	4
5865	20	female	NA
5886	21	female	5
5886	21	female	NA
6003	21	male	3
6003	21	male	NA
6220	22	male	2
6220	22	male	NA
6278	20	female	3
6278	20	female	NA
6429	21	male	3
6429	21	male	NA
6589	18	female	5
6644	19	female	3
6644	19	female	NA
6708	20	male	3
6708	20	male	NA
6957	20	male	5
6957	20	male	NA
7408	20	female	4
7408	20	female	NA
7440	19	male	2
7440	19	male	NA
7550	20	female	3
7550	20	female	NA
7609	25	male	4
7609	25	male	NA
7783	20	male	3
7783	20	male	NA
8050	19	male	4
8050	19	male	NA
8195	18	male	5
8195	18	male	NA
8252	19	male	3
8252	19	male	NA
8395	21	male	4
8395	21	male	NA
8543	20	female	2
8543	20	female	NA
8881	21	male	5
8881	21	male	NA
9241	19	female	4
9241	19	female	NA
9463	19	female	3
9463	19	female	NA
9533	21	male	4
9533	21	male	NA
9707	19	male	3
9707	19	male	NA
9968	20	female	2
9968	20	female	NA
